A,P,D,Y
18,2003,14.42701755,121
19,2003,18.50922146,113
20,2003,6.32569649,37
21,2003,8.82006925,37
22,2003,5.31715,38
23,2003,12.8804411,31
24,2003,10.03872668,43
25,2003,10.13729584,34
26,2003,9.27338681,31
27,2003,6.73680833,23
28,2003,13.43465211,43
29,2003,18.46909952,32
30,2003,12.71510295,33
31,2003,13.393144,34
32,2003,11.32580232,28
33,2003,19.1964669,39
34,2003,23.97524136,42
35,2003,12.60320992,28
36,2003,9.08256481,29
37,2003,15.27344838,34
38,2003,11.08116204,31
39,2003,8.29215044,23
40,2003,13.7172334,26
41,2003,16.7232618,42
42,2003,14.09886572,31
43,2003,17.65911604,38
44,2003,10.796149,29
45,2003,13.3906191,30
46,2003,14.33366305,35
47,2003,13.2210894,30
48,2003,11.84154972,28
49,2003,8.71399178,26
50,2003,3.55873797,27
51,2003,11.1412672,35
52,2003,11.80510752,37
53,2003,7.759774,25
54,2003,6.3838294,23
55,2003,7.03420392,24
56,2003,8.0601443,26
57,2003,3.11506254,18
58,2003,5.12698942,14
59,2003,11.09159613,23
18,2005,20.7483176,118
19,2005,21.1215992,104
20,2005,5.09892512,38
21,2005,18.27056704,46
22,2005,11.80219545,45
23,2005,16.23730264,46
24,2005,20.4203499,46
25,2005,19.40234226,41
26,2005,8.86003844,44
27,2005,16.5607204,40
28,2005,12.91791114,38
29,2005,18.6433608,48
30,2005,20.32801318,46
31,2005,12.50272512,36
32,2005,9.37681476,29
33,2005,7.01185968,36
34,2005,24.23226273,39
35,2005,21.91786569,41
36,2005,17.04484736,34
37,2005,9.6242107,26
38,2005,16.98150564,33
39,2005,10.18767802,19
40,2005,17.89380645,51
41,2005,11.06439786,31
42,2005,7.37714274,33
43,2005,11.35065112,34
44,2005,11.2678076,35
45,2005,15.17786416,47
46,2005,20.0228056,40
47,2005,5.34043818,33
48,2005,8.68716706,22
49,2005,10.4768901,30
50,2005,8.1490698,36
51,2005,11.92617384,38
52,2005,6.6371205,25
53,2005,9.73779014,26
54,2005,5.19153129,33
55,2005,7.07476152,24
56,2005,2.58495174,18
57,2005,0.7716744,21
58,2005,5.08108675,25
59,2005,8.0688933,26
18,2007,8.4816932,40
19,2007,6.7207068,40
20,2007,5.30398792,22
21,2007,9.63632052,36
22,2007,15.45049476,36
23,2007,17.97143687,37
24,2007,11.8366218,36
25,2007,15.2525088,36
26,2007,15.8954236,31
27,2007,11.85907975,25
28,2007,8.5905699,30
29,2007,22.14088008,44
30,2007,16.52026986,37
31,2007,19.06402962,38
32,2007,25.55559818,49
33,2007,13.77995672,38
34,2007,13.26545978,37
35,2007,11.6049744,32
36,2007,15.4971891,45
37,2007,18.34603764,42
38,2007,23.6840436,56
39,2007,15.9775248,40
40,2007,22.07532496,41
41,2007,14.69749578,33
42,2007,14.94501464,43
43,2007,14.3015176,40
44,2007,15.72993198,49
45,2007,22.1434725,50
46,2007,18.8129763,45
47,2007,22.57723204,44
48,2007,9.70111791,33
49,2007,18.2575218,42
50,2007,21.46902237,43
51,2007,17.68253754,46
52,2007,13.37700608,46
53,2007,12.0415464,36
54,2007,15.641445,34
55,2007,12.2644392,38
56,2007,13.12118606,38
57,2007,6.40086165,27
58,2007,7.47938385,45
59,2007,9.87796512,32
18,2009,12.3732948,30
19,2009,8.61909472,32
20,2009,17.38336716,36
21,2009,9.22758912,36
22,2009,15.26434667,37
23,2009,16.09026804,42
24,2009,16.1290108,35
25,2009,14.43372479,37
26,2009,14.88004456,38
27,2009,14.4129528,40
28,2009,20.57909175,45
29,2009,15.5570933,35
30,2009,16.23895818,46
31,2009,21.666293,50
32,2009,14.93172912,38
33,2009,11.7608064,35
34,2009,17.14010312,34
35,2009,16.4113631,34
36,2009,18.72444288,48
37,2009,12.68989085,35
38,2009,15.4163174,44
39,2009,26.73346876,59
40,2009,16.50530396,47
41,2009,15.6394546,44
42,2009,17.59089376,44
43,2009,18.46397941,53
44,2009,25.32885575,55
45,2009,22.97234756,53
46,2009,16.38987102,47
47,2009,15.07699776,48
48,2009,16.33836234,46
49,2009,18.18103397,47
50,2009,16.90473788,41
51,2009,21.4655224,40
52,2009,11.50494525,45
53,2009,22.04658412,44
54,2009,9.1269597,38
55,2009,15.35644736,32
56,2009,8.11087602,39
57,2009,6.14239175,25
58,2009,7.6451847,30
59,2009,13.77963594,34
