,2003,2005,2007,2009
18,7.8451318,11.33817632,2.3508524,0
19,7.35724016,14.3571896,3.5699548,1.52507488
20,1.81827287,2.4384448,0.99742764,7.94516076
21,6.1077491,7.47429068,6.30182196,5.59321956
22,1.83435842,2.4926022,8.4090942,6.94451927
23,5.12695732,3.70287718,7.29734091,4.32178698
24,2.61991776,3.97632464,1.91830968,3.3713057
25,0,4.14095244,2.7360666,7.76744404
26,0.22119709,2.55873244,4.64038752,5.06613302
27,5.63012607,2.2104308,0,2.769522
28,1.79168917,2.92749074,1.0098672,2.21928255
29,0.72079936,5.78418192,4.61024212,1.98345315
30,0.92738514,1.7865894,3.75751798,0.54300102
31,0,3.55630392,4.26734642,6.8778265
32,0.87684912,0.68596484,2.13706248,0.87629672
33,7.62476247,0.65701764,1.73089164,0.97839735
34,1.349292,5.33418561,2.59393125,0.7855241
35,1.27041516,3.514971,0.9510464,2.0578211
36,0.56682472,1.71423886,0.82363005,2.64386448
37,6.0225883,0.69192994,1.08846906,0
38,2.35988647,1.87676577,2.1513296,1.480083
39,1.7040608,0,0,3.13020488
40,0.38583272,2.08818429,5.07568192,0.5252814
41,0.63537474,0,0,2.14842716
42,0.40325296,2.97201927,3.3963679,6.31964476
43,0,2.3449154,0.6642116,1.53280187
44,0.38112583,4.9860125,1.0670779,0.72001765
45,6.8831517,0,5.0331,1.73153544
46,0.36982855,2.1236992,1.25358615,0.58640631
47,1.674141,0,2.01849472,1.10399472
48,0.96118708,1.89124606,0,1.27464758
49,0,0,0,0
50,0,0.876573,1.62505729,0
51,1.3697635,0,0.24597488,3.3400168
52,2.32843109,0.51253325,2.05194868,2.590776
53,0.42941825,0,1.27332468,0.54226084
54,0,0,2.1449988,0
55,0,0,0.73437128,0
56,2.00748886,0,0.50707542,0
57,0,0,0,0.49425375
58,2.97379768,1.439509,0.31931775,0
59,2.25791138,0,0.41472672,1.00155126
