,2003,2005,2007,2009
18,121,118,40,30
19,113,104,40,32
20,37,38,22,36
21,37,46,36,36
22,38,45,36,37
23,31,46,37,42
24,43,46,36,35
25,34,41,36,37
26,31,44,31,38
27,23,40,25,40
28,43,38,30,45
29,32,48,44,35
30,33,46,37,46
31,34,36,38,50
32,28,29,49,38
33,39,36,38,35
34,42,39,37,34
35,28,41,32,34
36,29,34,45,48
37,34,26,42,35
38,31,33,56,44
39,23,19,40,59
40,26,51,41,47
41,42,31,33,44
42,31,33,43,44
43,38,34,40,53
44,29,35,49,55
45,30,47,50,53
46,35,40,45,47
47,30,33,44,48
48,28,22,33,46
49,26,30,42,47
50,27,36,43,41
51,35,38,46,40
52,37,25,46,45
53,25,26,36,44
54,23,33,34,38
55,24,24,38,32
56,26,18,38,39
57,18,21,27,25
58,14,25,45,30
59,23,26,32,34
